([3, 4], [1, 2])0.0
([4, 2], [6, 5])0.0
([6, 4], [6, 3])0.0
([1, 3], [4, 3])0.0
([4, 2], [5, 5])0.0
([6, 4], [5, 3])0.0
([7, 5], [2, 1])0.0
([3, 3], [1, 1])0.0
([5, 4], [3, 4])0.0
([5, 5], [3, 2])0.0
([0, 2], [1, 2])0.41489361702127664
([7, 4], [3, 2])0.0
([2, 1], [7, 4])0.0
([1, 0], [6, 3])0.0
([2, 4], [1, 2])0.0
([8, 5], [2, 4])0.0
([4, 2], [3, 3])0.05319148936170213
([3, 1], [2, 3])0.0
([9, 5], [2, 3])0.0
([1, 1], [9, 5])0.0
([6, 3], [4, 3])0.01075268817204301
([4, 2], [4, 2])0.13829787234042554
([1, 0], [5, 3])0.0
([3, 1], [0, 0])0.0
([9, 5], [0, 0])0.0
([0, 1], [4, 4])0.0
([2, 3], [1, 1])0.0
([3, 3], [6, 5])0.0
([4, 2], [8, 5])0.0
([4, 4], [2, 2])0.0
([7, 5], [2, 4])0.0
([5, 3], [1, 3])0.0
([2, 1], [2, 3])0.0
([3, 3], [5, 5])0.0
([4, 2], [6, 4])0.0
([1, 1], [3, 2])0.10416666666666667
([2, 1], [0, 0])0.0
([4, 3], [2, 1])0.0
([4, 2], [5, 4])0.0
([6, 4], [3, 1])0.0
([2, 3], [6, 5])0.0
([3, 3], [3, 3])0.36842105263157887
([4, 5], [1, 0])0.0
([6, 5], [9, 5])0.0
([3, 3], [4, 2])0.0
([2, 3], [5, 5])0.0
([1, 0], [3, 1])0.031914893617021274
([3, 3], [8, 5])0.0
([3, 4], [7, 5])0.0
([1, 2], [2, 2])0.3333333333333333
([2, 3], [3, 3])0.4042553191489362
([4, 3], [2, 4])0.0
([3, 3], [6, 4])0.0
([2, 3], [4, 2])0.0
([4, 2], [8, 4])0.0
([5, 3], [6, 3])0.052083333333333336
([6, 4], [3, 4])0.0
([6, 5], [3, 2])0.0
([0, 1], [1, 1])0.2708333333333333
([3, 3], [5, 4])0.042105263157894736
([5, 3], [5, 3])0.28125000000000006
([0, 2], [7, 5])0.0
([2, 3], [8, 5])0.0
([1, 3], [1, 3])0.24731182795698925
([2, 4], [7, 5])0.0
([5, 4], [9, 5])0.0
([1, 0], [3, 4])0.0
([3, 2], [0, 2])0.0
([8, 4], [2, 1])0.0
([0, 0], [1, 0])0.031249999999999997
([4, 5], [4, 5])0.23404255319148934
([2, 3], [6, 4])0.0
([2, 3], [5, 4])0.0
([0, 1], [6, 5])0.0
([6, 3], [1, 3])0.0
([4, 2], [1, 2])0.0
([5, 5], [2, 1])0.0
([3, 3], [8, 4])0.0
([7, 4], [2, 1])0.0
([2, 2], [0, 2])0.0
([0, 1], [5, 5])0.0
([5, 4], [3, 2])0.0
([3, 4], [7, 4])0.0
([8, 4], [2, 4])0.0
([8, 5], [2, 2])0.0
([0, 1], [3, 3])0.0
([5, 3], [3, 1])0.0
([3, 2], [4, 3])0.30208333333333326
([1, 3], [6, 3])0.0
([0, 2], [7, 4])0.0
([0, 1], [4, 2])0.0
([2, 3], [8, 4])0.0
([0, 0], [4, 5])0.0
([2, 4], [7, 4])0.0
([1, 3], [5, 3])0.0
([5, 5], [2, 4])0.0
([3, 4], [2, 3])0.010638297872340424
([4, 5], [4, 4])0.20212765957446807
([0, 1], [8, 5])0.0
([7, 4], [2, 4])0.0
([7, 5], [2, 2])0.0
([3, 3], [1, 2])0.0
([1, 1], [2, 1])0.11458333333333334
([3, 4], [0, 0])0.0
([6, 3], [6, 3])0.2043010752688172
([2, 2], [4, 3])0.0736842105263158
([0, 1], [6, 4])0.0
([6, 3], [5, 3])0.1827956989247312
([0, 2], [2, 3])0.10638297872340427
([5, 3], [3, 4])0.0
([0, 1], [5, 4])0.0
([0, 2], [0, 0])0.0
([4, 4], [1, 0])0.0
([2, 4], [2, 3])0.06451612903225806
([6, 4], [9, 5])0.0
([2, 3], [1, 2])0.0
([2, 4], [0, 0])0.0
([3, 1], [0, 1])0.0
([9, 5], [0, 1])0.0
([1, 1], [2, 4])0.0
([1, 0], [9, 5])0.0
([1, 3], [3, 1])0.0
([6, 5], [2, 1])0.0
([0, 0], [4, 4])0.0
([4, 3], [2, 2])0.0
([4, 2], [7, 5])0.0
([6, 4], [3, 2])0.0
([0, 1], [8, 4])0.0
([2, 1], [0, 1])0.0
([6, 3], [3, 1])0.0
([1, 2], [1, 0])0.0
([4, 5], [1, 1])0.0
([1, 0], [3, 2])0.031914893617021274
([4, 4], [4, 5])0.010526315789473682
([1, 3], [3, 4])0.04301075268817204
([6, 5], [2, 4])0.0
([3, 2], [1, 3])0.0
([5, 4], [2, 1])0.0
([0, 1], [1, 2])0.26041666666666663
([3, 3], [7, 5])0.0
([4, 5], [6, 5])0.05319148936170213
([6, 3], [3, 4])0.0
([8, 4], [2, 2])0.0
([4, 2], [7, 4])0.0
([4, 5], [5, 5])0.38297872340425526
([2, 2], [1, 3])0.0
([0, 0], [1, 1])0.3958333333333333
([1, 2], [4, 5])0.0
([2, 3], [7, 5])0.0
([5, 3], [9, 5])0.0
([4, 5], [3, 3])0.0
([5, 4], [2, 4])0.0
([5, 5], [2, 2])0.0
([4, 4], [4, 4])0.4421052631578946
([4, 5], [4, 2])0.0
([7, 4], [2, 2])0.0
([8, 5], [1, 0])0.0
([4, 2], [2, 3])0.0
([3, 2], [6, 3])0.0
([4, 5], [8, 5])0.0
([4, 2], [0, 0])0.0
([0, 0], [6, 5])0.0
([3, 2], [5, 3])0.04166666666666666
([5, 3], [3, 2])0.0
([3, 3], [7, 4])0.0
([4, 5], [6, 4])0.0
([7, 5], [1, 0])0.0
([0, 0], [5, 5])0.0
([4, 5], [5, 4])0.06382978723404255
([2, 2], [6, 3])0.0
([1, 1], [2, 2])0.3854166666666667
([2, 2], [5, 3])0.0
([0, 0], [3, 3])0.0
([1, 2], [4, 4])0.0
([2, 3], [7, 4])0.0
([6, 4], [2, 1])0.0
([0, 0], [4, 2])0.0
([3, 3], [2, 3])0.0631578947368421
([3, 4], [0, 1])0.0
([8, 5], [4, 5])0.0
([1, 3], [9, 5])0.0
([0, 1], [7, 5])0.0
([3, 3], [0, 0])0.0
([0, 0], [8, 5])0.0
([1, 0], [2, 1])0.3936170212765957
([3, 1], [0, 2])0.0
([4, 5], [8, 4])0.0
([9, 5], [0, 2])0.0
([0, 2], [0, 1])0.0
([4, 4], [1, 1])0.0
([3, 2], [3, 1])0.0
([0, 0], [6, 4])0.0
([4, 3], [1, 0])0.0
([2, 3], [2, 3])0.3191489361702128
([2, 4], [0, 1])0.0
([6, 3], [9, 5])0.0
([7, 5], [4, 5])0.0
([1, 3], [3, 2])0.0
([0, 0], [5, 4])0.0
([2, 3], [0, 0])0.0
([6, 4], [2, 4])0.0
([6, 5], [2, 2])0.0
([2, 1], [0, 2])0.0
([2, 2], [3, 1])0.0
([4, 4], [6, 5])0.010526315789473682
([1, 0], [2, 4])0.0
([6, 3], [3, 2])0.0
([3, 2], [3, 4])0.0
([4, 5], [1, 2])0.0
([8, 5], [4, 4])0.0
([4, 4], [5, 5])0.03157894736842105
([3, 1], [4, 3])0.021276595744680854
([9, 5], [4, 3])0.0
([0, 1], [7, 4])0.0
([1, 2], [1, 1])0.0
([0, 0], [8, 4])0.0
([4, 4], [3, 3])0.021052631578947364
([4, 3], [4, 5])0.0
([5, 4], [2, 2])0.0
([4, 4], [4, 2])0.0
([2, 2], [3, 4])0.0
([7, 5], [4, 4])0.0
([8, 4], [1, 0])0.0
([2, 1], [4, 3])0.0
([4, 4], [8, 5])0.0
([0, 1], [2, 3])0.0
([5, 3], [2, 1])0.0
([1, 2], [6, 5])0.0
([0, 1], [0, 0])0.0
([5, 5], [1, 0])0.0
([4, 4], [6, 4])0.03157894736842105
([0, 0], [1, 2])0.0
([1, 2], [5, 5])0.0
([7, 4], [1, 0])0.0
([4, 4], [5, 4])0.3578947368421052
([1, 2], [3, 3])0.09374999999999999
([1, 2], [4, 2])0.0
([5, 3], [2, 4])0.0
([8, 5], [1, 1])0.0
([4, 3], [4, 4])0.14736842105263157
([8, 4], [4, 5])0.0
([1, 2], [8, 5])0.0
([4, 2], [0, 1])0.0
([1, 1], [1, 0])0.0
([4, 4], [8, 4])0.0
([4, 5], [7, 5])0.0
([1, 2], [6, 4])0.0
([7, 5], [1, 1])0.0
([5, 5], [4, 5])0.03157894736842105
([1, 3], [2, 1])0.0
([7, 4], [4, 5])0.0
([3, 2], [9, 5])0.0
([8, 5], [6, 5])0.010638297872340425
([1, 2], [5, 4])0.0
([6, 4], [2, 2])0.0
([3, 1], [1, 3])0.0
([3, 4], [0, 2])0.0
([8, 5], [5, 5])0.0
([9, 5], [1, 3])0.0
([6, 3], [2, 1])0.0
([1, 0], [2, 2])0.05319148936170213
([7, 5], [6, 5])0.15053763440860216
([2, 2], [9, 5])0.0
([3, 3], [0, 1])0.0
([8, 5], [3, 3])0.0
([0, 2], [0, 2])0.22340425531914895
([4, 4], [1, 2])0.0
([3, 2], [3, 2])0.22916666666666663
([8, 4], [4, 4])0.0
([6, 5], [1, 0])0.0
([8, 5], [4, 2])0.0
([2, 1], [1, 3])0.0
([7, 5], [5, 5])0.0
([1, 3], [2, 4])0.06451612903225806
([2, 4], [0, 2])0.0
([1, 2], [8, 4])0.0
([1, 1], [4, 5])0.0
([0, 0], [7, 5])0.0
([4, 3], [1, 1])0.0
([8, 5], [8, 5])0.4787234042553191
([4, 5], [7, 4])0.0
([7, 5], [3, 3])0.0
([5, 5], [4, 4])0.07368421052631578
([2, 3], [0, 1])0.0
([3, 4], [4, 3])0.0
([2, 2], [3, 2])0.2
([7, 4], [4, 4])0.0
([7, 5], [4, 2])0.0
([8, 5], [6, 4])0.010638297872340425
([6, 3], [2, 4])0.0
([3, 1], [6, 3])0.0
([9, 5], [6, 3])0.0
([8, 5], [5, 4])0.0
