[5, 4][3, 2]0.0
[5, 4][3, 3]0.0
[5, 4][3, 4]0.0
[5, 4][4, 2]0.0
[5, 4][4, 3]0.01
[5, 4][4, 4]0.12
[5, 4][4, 5]0.0
[5, 4][5, 3]0.01
[5, 4][5, 4]0.46
[5, 4][5, 5]0.03
[5, 4][6, 3]0.0
[5, 4][6, 4]0.23
[5, 4][6, 5]0.06
[5, 4][7, 4]0.01
[5, 4][7, 5]0.01
[5, 4][8, 4]0.0
[5, 4][8, 5]0.0
[5, 4][9, 5]0.0
[5, 5][0, 0]0.0
[5, 5][0, 1]0.0
[5, 5][0, 2]0.0
[5, 5][1, 0]0.0
[5, 5][1, 1]0.0
[5, 5][1, 2]0.0
[5, 5][1, 3]0.0
[5, 5][2, 1]0.0
[5, 5][2, 2]0.0
[5, 5][2, 3]0.0
[5, 5][2, 4]0.0
[5, 5][3, 1]0.0
[5, 5][3, 2]0.0
[5, 5][3, 3]0.0
[5, 5][3, 4]0.0
[5, 5][4, 2]0.0
[5, 5][4, 3]0.0
[5, 5][4, 4]0.07
[5, 5][4, 5]0.03
[5, 5][5, 3]0.0
[5, 5][5, 4]0.17
[5, 5][5, 5]0.31
[5, 5][6, 3]0.0
[5, 5][6, 4]0.03
[5, 5][6, 5]0.31
[5, 5][7, 4]0.0
[5, 5][7, 5]0.03
[5, 5][8, 4]0.0
[5, 5][8, 5]0.0
[5, 5][9, 5]0.0
[6, 3][0, 0]0.0
[6, 3][0, 1]0.0
[6, 3][0, 2]0.0
[6, 3][1, 0]0.0
[6, 3][1, 1]0.0
[6, 3][1, 2]0.0
[6, 3][1, 3]0.0
[6, 3][2, 1]0.0
[6, 3][2, 2]0.0
[6, 3][2, 3]0.0
[6, 3][2, 4]0.0
[6, 3][3, 1]0.0
[6, 3][3, 2]0.0
[6, 3][3, 3]0.0
[6, 3][3, 4]0.0
[6, 3][4, 2]0.0
[6, 3][4, 3]0.01
[6, 3][4, 4]0.0
[6, 3][4, 5]0.0
[6, 3][5, 3]0.17
[6, 3][5, 4]0.07
[6, 3][5, 5]0.0
[6, 3][6, 3]0.19
[6, 3][6, 4]0.34
[6, 3][6, 5]0.0
